Year,Week,Team,Score,Opponent,Opponent_score,Score_margin,Outcome,Type,Top_scoring_week,Lowest_scoring_week
2017,10.0,Luca,103.0,Cody,124.0,-21.0,Loss,Regular,0,0
2017,10.0,Gavin,102.0,Hayden,157.0,-55.0,Loss,Regular,0,1
2017,11.0,Luca,161.0,Nate,129.0,32.0,Win,Regular,1,0
2017,11.0,Dylan,144.0,Hayden,92.0,52.0,Win,Regular,0,0
2017,11.0,Zachary,143.0,Cody,90.0,53.0,Win,Regular,0,0
2017,11.0,Gavin,132.0,Matt,85.0,47.0,Win,Regular,0,0
2017,11.0,Nate,129.0,Luca,161.0,-32.0,Loss,Regular,0,0
2017,11.0,Hayden,92.0,Dylan,144.0,-52.0,Loss,Regular,0,0
2017,11.0,Cody,90.0,Zachary,143.0,-53.0,Loss,Regular,0,0
2017,11.0,Matt,85.0,Gavin,132.0,-47.0,Loss,Regular,0,1
2017,12.0,Gavin,188.0,Dylan,174.0,14.0,Win,Regular,1,0
2017,12.0,Dylan,174.0,Gavin,188.0,-14.0,Loss,Regular,0,0
2017,12.0,Luca,110.0,Zachary,90.0,20.0,Win,Regular,0,0
2017,12.0,Matt,106.0,Nate,104.0,2.0,Win,Regular,0,0
2017,12.0,Nate,104.0,Matt,106.0,-2.0,Loss,Regular,0,0
2017,12.0,Hayden,100.0,Cody,92.0,8.0,Win,Regular,0,0
2017,12.0,Cody,92.0,Hayden,100.0,-8.0,Loss,Regular,0,0
2017,12.0,Zachary,90.0,Luca,110.0,-20.0,Loss,Regular,0,1
2017,13.0,Hayden,142.0,Luca,137.0,5.0,Win,Regular,1,0
2017,13.0,Matt,142.0,Zachary,116.0,26.0,Win,Regular,1,0
2017,13.0,Luca,137.0,Hayden,142.0,-5.0,Loss,Regular,0,0
2017,13.0,Dylan,130.0,Nate,92.0,38.0,Win,Regular,0,0
2017,13.0,Zachary,116.0,Matt,142.0,-26.0,Loss,Regular,0,0
2017,13.0,Cody,114.0,Gavin,87.0,27.0,Win,Regular,0,0
2017,13.0,Nate,92.0,Dylan,130.0,-38.0,Loss,Regular,0,0
2017,13.0,Gavin,87.0,Cody,114.0,-27.0,Loss,Regular,0,1
2017,14.0,Dylan,311.0,Hayden,241.0,70.0,Win,Playoff,1,0
2017,14.0,Luca,241.0,Gavin,199.0,42.0,Win,Playoff,0,0
2017,14.0,Hayden,241.0,Dylan,311.0,-70.0,Loss,Playoff,0,0
2017,14.0,Gavin,199.0,Luca,241.0,-42.0,Loss,Playoff,0,1
2017,15.0,Dylan,273.0,Luca,250.0,23.0,Win,Playoff,1,0
2017,15.0,Luca,250.0,Dylan,273.0,-23.0,Loss,Playoff,0,1
2018,1.0,Luca,163.0,Gavin,96.0,67.0,Win,Regular,1,0
2018,1.0,Dylan,160.0,Matt,159.0,1.0,Win,Regular,0,0
2018,1.0,Matt,159.0,Dylan,160.0,-1.0,Loss,Regular,0,0
2018,1.0,Nate,126.0,Hayden,112.0,14.0,Win,Regular,0,0
2018,1.0,Cody,112.0,Zachary,103.0,9.0,Win,Regular,0,0
2018,1.0,Hayden,112.0,Nate,126.0,-14.0,Loss,Regular,0,0
2018,1.0,Zachary,103.0,Cody,112.0,-9.0,Loss,Regular,0,0
2018,1.0,Gavin,96.0,Luca,163.0,-67.0,Loss,Regular,0,1
2018,2.0,Matt,157.0,Nate,155.0,2.0,Win,Regular,1,0
2018,2.0,Gavin,157.0,Zachary,116.0,41.0,Win,Regular,1,0
2018,2.0,Nate,155.0,Matt,157.0,-2.0,Loss,Regular,0,0
2018,2.0,Luca,154.0,Cody,133.0,21.0,Win,Regular,0,0
2018,2.0,Cody,133.0,Luca,154.0,-21.0,Loss,Regular,0,0
2018,2.0,Zachary,116.0,Gavin,157.0,-41.0,Loss,Regular,0,0
2018,2.0,Hayden,98.0,Dylan,77.0,21.0,Win,Regular,0,0
2018,2.0,Dylan,77.0,Hayden,98.0,-21.0,Loss,Regular,0,1
2018,3.0,Luca,162.0,Zachary,76.0,86.0,Win,Regular,1,0
2018,3.0,Dylan,151.0,Nate,94.0,57.0,Win,Regular,0,0
2018,3.0,Matt,132.0,Hayden,107.0,25.0,Win,Regular,0,0
2018,3.0,Gavin,126.0,Cody,99.0,27.0,Win,Regular,0,0
2018,3.0,Hayden,107.0,Matt,132.0,-25.0,Loss,Regular,0,0
2018,3.0,Cody,99.0,Gavin,126.0,-27.0,Loss,Regular,0,0
2018,3.0,Nate,94.0,Dylan,151.0,-57.0,Loss,Regular,0,0
2018,3.0,Zachary,76.0,Luca,162.0,-86.0,Loss,Regular,0,1
2018,4.0,Luca,168.0,Hayden,109.0,59.0,Win,Regular,1,0
2018,4.0,Nate,156.0,Gavin,149.0,7.0,Win,Regular,0,0
2018,4.0,Matt,150.0,Zachary,110.0,40.0,Win,Regular,0,0
2018,4.0,Gavin,149.0,Nate,156.0,-7.0,Loss,Regular,0,0
2018,4.0,Dylan,137.0,Cody,92.0,45.0,Win,Regular,0,0
2018,4.0,Zachary,110.0,Matt,150.0,-40.0,Loss,Regular,0,0
2018,4.0,Hayden,109.0,Luca,168.0,-59.0,Loss,Regular,0,0
2018,4.0,Cody,92.0,Dylan,137.0,-45.0,Loss,Regular,0,1
2018,5.0,Dylan,168.0,Zachary,111.0,57.0,Win,Regular,1,0
2018,5.0,Matt,154.0,Luca,103.0,51.0,Win,Regular,0,0
2018,5.0,Nate,129.0,Cody,105.0,24.0,Win,Regular,0,0
2018,5.0,Hayden,115.0,Gavin,115.0,0.0,Tie,Regular,0,0
2018,5.0,Gavin,115.0,Hayden,115.0,0.0,Tie,Regular,0,0
2018,5.0,Zachary,111.0,Dylan,168.0,-57.0,Loss,Regular,0,0
2018,5.0,Cody,105.0,Nate,129.0,-24.0,Loss,Regular,0,0
2018,5.0,Luca,103.0,Matt,154.0,-51.0,Loss,Regular,0,1
2018,6.0,Matt,161.0,Gavin,140.0,21.0,Win,Regular,1,0
2018,6.0,Luca,148.0,Dylan,140.0,8.0,Win,Regular,0,0
2018,6.0,Hayden,145.0,Cody,76.0,69.0,Win,Regular,0,0
2018,6.0,Gavin,140.0,Matt,161.0,-21.0,Loss,Regular,0,0
2018,6.0,Dylan,140.0,Luca,148.0,-8.0,Loss,Regular,0,0
2018,6.0,Nate,131.0,Zachary,106.0,25.0,Win,Regular,0,0
2018,6.0,Zachary,106.0,Nate,131.0,-25.0,Loss,Regular,0,0
2018,6.0,Cody,76.0,Hayden,145.0,-69.0,Loss,Regular,0,1
2018,7.0,Gavin,152.0,Dylan,147.0,5.0,Win,Regular,1,0
